Player Name,Nationality,year 1970,year 1971,year 1972,year 1973,year 1974,year 1975,year 1976,year 1977,year 1978,year 1979,year 1980,year 1981,year 1982,year 1983,year 1984,year 1985,year 1986,year 1987,year 1988,year 1989,year 1990,year 1991,year 1992,year 1993,year 1994,year 1995,year 1996,year 1997,year 1998,year 1999,year 2000,year 2001,year 2002,year 2003,year 2004,year 2005,year 2006,year 2007,year 2008,year 2009,year 2010,year 2011,year 2012,year 2013,year 2014,year 2015,year 2016,year 2017,year 2018,year 2019
A. B. de Villiers,SA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,687,1896,2330,3092,4056,4523,5168,6331,7210,8403,8742,9515,9577,9577
Aamer Hameed,PAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aamer Hanif,PAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89
Aamer Malik,PAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,499,536,536,536,536,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
Aamer Nazir,PAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Aamer Sohail,PAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,138,736,1145,2198,2682,3772,4085,4651,4704,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780,4780
Aamer Yamin,PAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,63,63,95,95
Aaqib Javed,PAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,34,51,69,144,237,265,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267,267
Aarif Sheikh,NEPAL ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45
Aaron Finch,AUS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,1304,1865,2520,2925,3418,4052
